,,,,,,,,,,,,,,,,hit sum,miss sum,hit+miss sum,hit rate,l1 read from l2,l1 write to l2,l1 read+write from/to l2,l2 read from dram,l2 write to dram,l2 read+write from/to dram,,,,,,,,,,,,,,,
resnet50,10,32,235.7345031,61,32.03682747,0.1573,,densenet201,75,8,27.81814138,500,2.209965396,0.0863,,131973217,113433588,245406805,0.537773258,238377352,86180435,324557787,115116278,48492046,163608324,,0.122,,1081747680,929783508.2,2011531189,4.407977523,1953912721,706397008.2,2660309730,943576049.2,397475786.9,1341051836,,
resnet50,10,32,272.4996479,82,68.80197233,0.3378,,densenet201,75,16,43.8155283,500,2.573261607,0.0624,,128320721,260990144,389310865,0.329609915,378839579,195123691,573963270,263946711,142256852,406203563,,0.164,,782443420.7,1591403317,2373846738,2.009816553,2309997433,1189778604,3499776037,1609431165,867419829.3,2476850994,,
resnet50,10,32,207.8719931,500,4.174317534,0.0205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,32,209.7185384,69,6.020862767,0.0296,,densenet201,90,1,28.10139797,500,3.695364982,0.1514,,,0.138,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,32,241.4741669,58,37.77649127,0.1855,,densenet201,90,8,27.10274539,500,1.796622212,0.071,,,0.116,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,32,287.9406606,76,84.24298498,0.4136,,densenet201,90,16,42.69872897,500,3.469468446,0.0884,,,0.152,,,,,,,,,,,,,,,,,,,,,,,
resnet50,10,32,207.9021378,500,4.204462156,0.0206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,origin,,7.037413735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet50,25,1,7.579622341,500,0.542208606,0.077,,densenet201,10,1,38.8567731,97,2.371655381,0.065,,22686222,15030936,37717158,0.601482805,36090672,12206520,48297192,17914337,1749389,19663726,,5.154639175,,4401127.068,2916001.584,7317128.652,0.116687664,7001590.368,2368064.88,9369655.248,3475381.378,339381.466,3814762.844,,
resnet50,25,1,7.494182152,500,0.456768417,0.0649,,densenet201,10,8,127.3545586,30,8.429615963,0.0709,,115208057,131754314,246962371,0.466500449,236851666,86330659,323182325,142264571,51697893,193962464,,16.66666667,,6912483.42,7905258.84,14817742.26,0.027990027,14211099.96,5179839.54,19390939.5,8535874.26,3101873.58,11637747.84,,
resnet50,25,1,7.503494591,500,0.466080856,0.0662,,densenet201,10,16,199.3048714,19,12.31972021,0.0659,,137691091,257830364,395521455,0.348125466,382472342,195536851,578009193,272706918,146807045,419513963,,26.31578947,,5232261.458,9797553.832,15029815.29,0.013228768,14533949,7430400.338,21964349.33,10362862.88,5578667.71,15941530.59,,
resnet50,25,1,7.743649343,500,0.706235608,0.1004,,densenet201,10,32,354.683,11,22.97231154,0.0693,,190093285,575953100,766046385,0.248148531,736205505,373195792,1109401297,601861481,317181847,919043328,,45.45454545,,4182052.27,12670968.2,16853020.47,0.005459268,16196521.11,8210307.424,24406828.53,13240952.58,6978000.634,20218953.22,,
resnet50,25,1,7.862754677,500,0.825340942,0.1173,,densenet201,25,1,27.66387834,141,1.951853099,0.0759,,23539259,15030936,38570195,0.610296603,37014917,12208251,49223168,16494139,1727044,18221183,,3.546099291,,6638071.038,4238723.952,10876794.99,0.172103642,10438206.59,3442726.782,13880933.38,4651347.198,487026.408,5138373.606,,
resnet50,25,1,7.832939649,500,0.795525914,0.113,,densenet201,25,8,52.95350101,74,4.016848475,0.0821,,122597846,124322140,246919986,0.496508395,237911918,86226254,324138172,128140569,49681340,177821909,,6.756756757,,18144481.21,18399676.72,36544157.93,0.073483242,35210963.86,12761485.59,47972449.46,18964804.21,7352838.32,26317642.53,,
resnet50,25,1,8.072217276,500,1.034803541,0.147,,densenet201,25,16,86.65213467,47,4.897516292,0.0599,,131359341,265363338,396722679,0.331111247,384300761,195143217,579443978,272102348,144546326,416648674,,10.63829787,,12347778.05,24944153.77,37291931.83,0.031124457,36124271.53,18343462.4,54467733.93,25577620.71,13587354.64,39164975.36,,
resnet50,25,1,8.160218108,500,1.122804373,0.1595,,densenet201,25,32,149.0452379,28,11.05862115,0.0801,,186820181,577253926,764074107,0.244505316,735767874,372640926,1108408800,588447297,316571472,905018769,,17.85714286,,10461930.14,32326219.86,42788149.99,0.013692298,41203000.94,20867891.86,62070892.8,32953048.63,17728002.43,50681051.06,,
resnet50,25,1,7.630461817,500,0.593048082,0.0843,,densenet201,50,1,26.20370487,145,1.221697213,0.0489,,23618096,15045852,38663948,0.610855777,37068764,12201701,49270465,16124930,1211766,17336696,,3.448275862,,6849247.84,4363297.08,11212544.92,0.177148175,10749941.56,3538493.29,14288434.85,4676229.7,351412.14,5027641.84,,
resnet50,25,1,8.636508225,500,1.59909449,0.2272,,densenet201,50,8,32.49132401,132,1.849308286,0.0604,,129561256,117671768,247233024,0.524045105,239610816,86220044,325830860,119888543,48201829,168090372,,3.787878788,,34204171.58,31065346.75,65269518.34,0.138347908,63257255.42,22762091.62,86019347.04,31650575.35,12725282.86,44375858.21,,
